運勢,願い事,商い,学問,
大吉,叶う,ちょっと努力すればすぐ繁盛,良し,
大吉,叶う,ちょっと努力すればすぐ繁盛,努力すれば良し,
大吉,叶う,ちょっと努力すればすぐ繁盛,ちょっと努力すれば良し,
大吉,叶う,ちょっと努力すればすぐ繁盛,コツコツと努力すれば良し,
大吉,叶う,すぐ繁盛,良し,
大吉,叶う,すぐ繁盛,努力すれば良し,
大吉,叶う,すぐ繁盛,ちょっと努力すれば良し,
大吉,叶う,すぐ繁盛,コツコツと努力すれば良し,
中吉,努力すれば叶う,努力すれば繁盛,良し,
中吉,努力すれば叶う,努力すれば繁盛,努力すれば良し,
中吉,努力すれば叶う,努力すれば繁盛,ちょっと努力すれば良し,
中吉,努力すれば叶う,努力すれば繁盛,コツコツと努力すれば良し,
中吉,努力すれば叶う,繁盛,良し,
中吉,努力すれば叶う,繁盛,努力すれば良し,
中吉,努力すれば叶う,繁盛,ちょっと努力すれば良し,
中吉,努力すれば叶う,繁盛,コツコツと努力すれば良し,
小吉,毎日コツコツ努力していれば叶う,時間がかかるけど繁盛,良し,
小吉,毎日コツコツ努力していれば叶う,時間がかかるけど繁盛,努力すれば良し,
小吉,毎日コツコツ努力していれば叶う,時間がかかるけど繁盛,ちょっと努力すれば良し,
小吉,毎日コツコツ努力していれば叶う,時間がかかるけど繁盛,コツコツと努力すれば良し,
小吉,毎日コツコツ努力していれば叶う,ゆっくり繁盛,良し,
小吉,毎日コツコツ努力していれば叶う,ゆっくり繁盛,努力すれば良し,
小吉,毎日コツコツ努力していれば叶う,ゆっくり繁盛,ちょっと努力すれば良し,
小吉,毎日コツコツ努力していれば叶う,ゆっくり繁盛,コツコツと努力すれば良し,
末吉,少しだけ叶う,ちょっと繁盛,良し,
末吉,少しだけ叶う,ちょっと繁盛,努力すれば良し,
末吉,少しだけ叶う,ちょっと繁盛,ちょっと努力すれば良し,
末吉,少しだけ叶う,ちょっと繁盛,コツコツと努力すれば良し,
末吉,少しだけ叶う,努力すればちょっとだけ繁盛,良し,
末吉,少しだけ叶う,努力すればちょっとだけ繁盛,努力すれば良し,
末吉,少しだけ叶う,努力すればちょっとだけ繁盛,ちょっと努力すれば良し,
末吉,少しだけ叶う,努力すればちょっとだけ繁盛,コツコツと努力すれば良し,
吉,努力すれば少し叶う,時間がかかるけどちょっと繁盛,良し,
吉,努力すれば少し叶う,時間がかかるけどちょっと繁盛,努力すれば良し,
吉,努力すれば少し叶う,時間がかかるけどちょっと繁盛,ちょっと努力すれば良し,
吉,努力すれば少し叶う,時間がかかるけどちょっと繁盛,コツコツと努力すれば良し,
吉,努力すれば少し叶う,じっくり考えると繁盛,良し,
吉,努力すれば少し叶う,じっくり考えると繁盛,努力すれば良し,
吉,努力すれば少し叶う,じっくり考えると繁盛,ちょっと努力すれば良し,
吉,努力すれば少し叶う,じっくり考えると繁盛,コツコツと努力すれば良し,
凶,ほんの少しだけ叶うかもしれない,今は温めておきましょう,良し,
凶,ほんの少しだけ叶うかもしれない,今は温めておきましょう,努力すれば良し,
凶,ほんの少しだけ叶うかもしれない,今は温めておきましょう,ちょっと努力すれば良し,
凶,ほんの少しだけ叶うかもしれない,今は温めておきましょう,コツコツと努力すれば良し,
凶,ほんの少しだけ叶うかもしれない,もう少し我慢をしましょう,良し,
凶,ほんの少しだけ叶うかもしれない,もう少し我慢をしましょう,努力すれば良し,
凶,ほんの少しだけ叶うかもしれない,もう少し我慢をしましょう,ちょっと努力すれば良し,
凶,ほんの少しだけ叶うかもしれない,もう少し我慢をしましょう,コツコツと努力すれば良し,
